Produs,Cantitate,Pret,Data
Tableta,10,3988.13,1/27/2023
Mouse,16,4577.51,12/31/2023
Televizor,11,3522.2,5/16/2023
Monitor,2,347.18,7/19/2023
Camera Foto,4,4760.66,4/6/2023
Monitor,18,1317.03,1/30/2023
Mouse,16,3378.7,3/3/2023
Televizor,20,470.9,7/3/2023
Imprimanta,5,3131.4,8/30/2023
Casti,19,4800.31,1/12/2023
Laptop,6,2419.11,3/12/2023
Mouse,19,3905.57,9/19/2023
Televizor,13,4493.27,11/2/2023
Imprimanta,18,2555.73,4/10/2023
Telefon,16,4563.49,3/22/2023
Televizor,7,3578.61,3/17/2023
Tableta,17,4750.33,5/11/2023
Telefon,8,4244.18,6/3/2023
Telefon,1,3125.21,11/23/2023
Monitor,6,4673.98,4/14/2023
Tableta,17,1614.2,4/11/2023
Monitor,6,3893.83,4/6/2023
Laptop,9,4126.75,10/2/2023
Tastatura,7,3044.24,5/16/2023
Tastatura,19,2561.85,2/13/2023
Mouse,5,237.16,9/21/2023
Televizor,13,1799.53,3/17/2023
Monitor,14,2539.1,8/7/2023
Casti,5,2657.54,7/12/2023
Imprimanta,11,3377.68,7/26/2023
Laptop,7,3118.64,10/11/2023
Casti,1,1868.33,5/7/2023
Tastatura,8,4229.2,1/13/2023
Tableta,8,3482.42,1/4/2023
Laptop,11,2777.24,5/3/2023
Camera Foto,7,2180.25,7/6/2023
Monitor,3,1409.72,12/7/2023
Monitor,19,553.69,1/29/2023
Mouse,2,3449.86,1/24/2023
Televizor,19,635.69,3/25/2023
Camera Foto,16,2329.31,12/7/2023
Imprimanta,5,817.41,2/6/2023
Camera Foto,10,2416.09,9/8/2023
Mouse,20,4597.69,11/26/2023
Casti,15,2917.11,2/1/2023
Telefon,9,4296.68,5/20/2023
Mouse,8,754.02,8/6/2023
Mouse,11,3584.51,10/5/2023
Tableta,3,50.36,7/1/2023
Imprimanta,15,4478.65,8/6/2023
Tastatura,17,2552.92,12/3/2023
Monitor,5,171.11,3/10/2023
Laptop,17,2318.05,6/16/2023
Casti,18,2222.62,5/5/2023
Tastatura,12,939.43,12/20/2023
Imprimanta,6,2860.82,9/27/2023
Monitor,2,1095.15,12/20/2023
Tableta,6,4792.25,8/15/2023
Televizor,4,2718.26,12/24/2023
Camera Foto,9,2712.69,8/20/2023
Imprimanta,10,1165.12,1/29/2023
Televizor,16,3416.33,11/15/2023
Telefon,20,3798.64,1/17/2023
Monitor,7,3268.45,7/18/2023
Televizor,12,2742.32,11/5/2023
Casti,14,3933.45,7/15/2023
Telefon,13,1978.32,3/12/2023
Mouse,12,2423.67,3/18/2023
Laptop,16,1915.99,3/8/2023
Laptop,14,1142.65,12/27/2023
Monitor,14,828.81,11/14/2023
Televizor,13,2543.06,6/17/2023
Mouse,6,4477.72,1/31/2023
Casti,15,2537.49,7/26/2023
Laptop,4,416.51,9/12/2023
Laptop,8,4852.67,6/23/2023
Monitor,7,1731.5,5/6/2023
Camera Foto,19,830.99,7/20/2023
Tableta,15,2138.98,11/16/2023
Laptop,10,804.98,3/21/2023
Casti,4,4480.31,5/6/2023
Imprimanta,18,3899.84,11/11/2023
Tableta,14,2962.74,8/15/2023
Monitor,14,4007.48,2/14/2023
Tastatura,18,733.63,11/24/2023
Tastatura,18,250.03,4/14/2023
Mouse,12,4911.87,1/2/2023
Tableta,10,3755.86,4/30/2023
Monitor,18,4705.51,10/18/2023
Imprimanta,2,629.41,6/15/2023
Camera Foto,8,2826.2,12/27/2023
Televizor,10,1823.12,1/6/2023
Tableta,12,1773.08,11/2/2023
Laptop,7,4214.42,7/23/2023
Monitor,2,4769.86,8/12/2023
Casti,14,2441.36,8/3/2023
Imprimanta,18,2947.69,2/19/2023
Imprimanta,8,3714.57,5/26/2023
Mouse,16,2782.07,12/18/2023
Tastatura,15,2815.92,3/4/2023
